iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,0,0.7327515649444917,0.7025023169601483,"[1.2216417912174673, 0.8720293518374947, 0.7327515649444917]","[0.4768303985171455, 0.6316033364226136, 0.7025023169601483]"
0,8,0.7708905122496865,0.6657142857142857,"[1.1463757554690044, 0.9437689889561046, 0.7708905122496865]","[0.43857142857142856, 0.5604761904761905, 0.6657142857142857]"
0,12,0.3848445343248772,0.8456760630673674,"[0.9608733834642352, 0.5524099622711991, 0.3848445343248772]","[0.5862398471094123, 0.7720974677496416, 0.8456760630673674]"
0,7,0.7544557036775531,0.6693741041567128,"[1.1388372652458423, 0.8720763921737671, 0.7544557036775531]","[0.451505016722408, 0.5929288103201147, 0.6693741041567128]"
0,3,0.7143152373678544,0.7133580705009277,"[1.1858419057200937, 0.8880680606645697, 0.7143152373678544]","[0.4893320964749536, 0.6442486085343229, 0.7133580705009277]"
0,5,0.8794718086719513,0.6116367076631978,"[1.1798516599571003, 0.9648417146766887, 0.8794718086719513]","[0.44512771996215705, 0.5695364238410596, 0.6116367076631978]"
0,13,0.3967283661618377,0.8433333333333334,"[0.9127169775240349, 0.5499318503972256, 0.3967283661618377]","[0.6290476190476191, 0.7776190476190477, 0.8433333333333334]"
0,2,0.6724512305329827,0.7284583139264089,"[1.2363342169453115, 0.8206535770612604, 0.6724512305329827]","[0.4690265486725664, 0.680018630647415, 0.7284583139264089]"
0,14,0.4422843609795426,0.818744053282588,"[1.014465696883924, 0.5663538421645309, 0.4422843609795426]","[0.549476688867745, 0.7764034253092293, 0.818744053282588]"
0,4,0.801830563475104,0.6702078521939954,"[1.2310336021816028, 0.9041859875707066, 0.801830563475104]","[0.47159353348729793, 0.6152424942263279, 0.6702078521939954]"
0,9,0.7822029879598906,0.6674595623215985,"[1.1433768326585942, 0.8982817187453761, 0.7822029879598906]","[0.4462416745956232, 0.5941960038058991, 0.6674595623215985]"
0,1,0.6370941233985564,0.7465181058495822,"[1.1877641186994665, 0.8370611737756168, 0.6370941233985564]","[0.47585886722376974, 0.6689879294336118, 0.7465181058495822]"
0,6,0.7967518044240547,0.6463823670340201,"[1.1835364121379275, 0.9056243155941819, 0.7967518044240547]","[0.4206995687589842, 0.5860086248203162, 0.6463823670340201]"
0,11,0.4191408414732326,0.8318160038332535,"[0.9021577771865961, 0.5515701581131328, 0.4191408414732326]","[0.6238620028749401, 0.7743172017249641, 0.8318160038332535]"
0,10,0.5104283247800434,0.8197729422894986,"[0.9646479215692071, 0.654764835448826, 0.5104283247800434]","[0.5931882686849574, 0.7592242194891201, 0.8197729422894986]"
1,2,0.5815660997348673,0.7731718677224033,"[1.0357157430228066, 0.7513895858736599, 0.5815660997348673]","[0.5780158360503027, 0.6930600838379134, 0.7731718677224033]"
1,12,0.33197868954051624,0.8666985188724319,"[0.7848556637763977, 0.46736909584565595, 0.33197868954051624]","[0.6889632107023411, 0.8136645962732919, 0.8666985188724319]"
1,3,0.6138528234818402,0.7588126159554731,"[1.0124297404990477, 0.80306436735041, 0.6138528234818402]","[0.602504638218924, 0.6781076066790352, 0.7588126159554731]"
1,14,0.3650816105531924,0.8549000951474786,"[0.7705332383965001, 0.4575862396847118, 0.3650816105531924]","[0.6902949571836346, 0.8173168411037107, 0.8549000951474786]"
1,7,0.6061750225948564,0.7424749163879598,"[1.0119765202204387, 0.7487885410135443, 0.6061750225948564]","[0.5461060678451983, 0.6712852365026278, 0.7424749163879598]"
1,1,0.5630767967771081,0.7804085422469823,"[1.001084788757212, 0.7548780651653514, 0.5630767967771081]","[0.5812441968430826, 0.692200557103064, 0.7804085422469823]"
1,5,0.8205589003422681,0.6622516556291391,"[1.0647580308072708, 0.9104219885433421, 0.8205589003422681]","[0.510879848628193, 0.6182592242194891, 0.6622516556291391]"
1,9,0.6681508042595603,0.7131303520456708,"[1.015551088434277, 0.8061687783761458, 0.6681508042595603]","[0.5475737392959087, 0.6531874405328258, 0.7131303520456708]"
1,6,0.7012840608755747,0.6942980354575946,"[1.0848487525275259, 0.8189793554219332, 0.7012840608755747]","[0.5026353617632966, 0.6435074269286056, 0.6942980354575946]"
1,8,0.6680819482514353,0.7152380952380952,"[1.035750428835551, 0.8236531019210815, 0.6680819482514353]","[0.5328571428571428, 0.6247619047619047, 0.7152380952380952]"
1,13,0.33650430540243786,0.8671428571428571,"[0.7420019669966265, 0.5190615635929685, 0.33650430540243786]","[0.7033333333333334, 0.7928571428571428, 0.8671428571428571]"
1,11,0.3273111261201627,0.877815045519885,"[0.7262828214602037, 0.46907012390367914, 0.3273111261201627]","[0.7125059894585529, 0.8160038332534739, 0.877815045519885]"
1,0,0.6222873128512326,0.7493049119555144,"[1.0293815328794367, 0.7903432179899776, 0.6222873128512326]","[0.5898980537534755, 0.6811862835959221, 0.7493049119555144]"
1,4,0.666294176788891,0.7214780600461894,"[1.0488065042916466, 0.7786257494898403, 0.666294176788891]","[0.5695150115473441, 0.6720554272517321, 0.7214780600461894]"
1,10,0.4203738850705764,0.8514664143803217,"[0.7746474620173959, 0.5574000968652613, 0.4203738850705764]","[0.6835383159886471, 0.7923368022705771, 0.8514664143803217]"
2,8,0.5469601642001759,0.7795238095238095,"[0.9190548134572578, 0.7159956151788885, 0.5469601642001759]","[0.6104761904761905, 0.6995238095238095, 0.7795238095238095]"
2,12,0.22355437843185483,0.9202102245580507,"[0.6168372892972195, 0.38979779048399493, 0.22355437843185483]","[0.7687529861442904, 0.8566650740563784, 0.9202102245580507]"
2,0,0.5502491496941623,0.7849860982391103,"[0.8948103820576387, 0.6872653593035305, 0.5502491496941623]","[0.6431881371640408, 0.7233549582947173, 0.7849860982391103]"
2,10,0.3775600992581424,0.868968779564806,"[0.6407585468362359, 0.4938446686548345, 0.3775600992581424]","[0.7630085146641438, 0.8287606433301797, 0.868968779564806]"
2,5,0.7021909417474971,0.7095553453169348,"[0.9285697078003603, 0.7462611364967683, 0.7021909417474971]","[0.586565752128666, 0.6996215704824976, 0.7095553453169348]"
2,9,0.5403812211571317,0.7721217887725975,"[0.8940576838724541, 0.6717815498510996, 0.5403812211571317]","[0.6279733587059942, 0.719790675547098, 0.7721217887725975]"
2,3,0.5363069693831837,0.7866419294990723,"[0.8733914915253135, 0.7214233296758988, 0.5363069693831837]","[0.6525974025974026, 0.7175324675324676, 0.7866419294990723]"
2,14,0.21913578857978186,0.9167459562321598,"[0.611972535198385, 0.3437450821652557, 0.21913578857978186]","[0.7702188392007612, 0.8701236917221694, 0.9167459562321598]"
2,13,0.25605586803320685,0.909047619047619,"[0.6319328537493041, 0.4174933180664525, 0.25605586803320685]","[0.7604761904761905, 0.8457142857142858, 0.909047619047619]"
2,4,0.576283368994208,0.771824480369515,"[0.9218805064173305, 0.6987833065145156, 0.576283368994208]","[0.6277136258660508, 0.7265588914549653, 0.771824480369515]"
2,7,0.5518970868804238,0.7735308170090779,"[0.8947176319180112, 0.6678352952003479, 0.5518970868804238]","[0.6192068800764453, 0.7123745819397993, 0.7735308170090779]"
2,1,0.46200431883335114,0.8217270194986073,"[0.8443248499842251, 0.6505330967552522, 0.46200431883335114]","[0.6685236768802229, 0.7428040854224698, 0.8217270194986073]"
2,6,0.5462621730385404,0.7795879252515573,"[0.9478230747309598, 0.6920574975736213, 0.5462621730385404]","[0.5979875419262098, 0.6966938188787734, 0.7795879252515573]"
2,2,0.4827682822942734,0.8132277596646483,"[0.8865308288265678, 0.6284180143300224, 0.4827682822942734]","[0.6590591523055426, 0.7498835584536563, 0.8132277596646483]"
2,11,0.22147612612355838,0.9195016770483948,"[0.5874690521847118, 0.3566523677471912, 0.22147612612355838]","[0.794920939147101, 0.853378054623862, 0.9195016770483948]"
3,12,0.16171700913797726,0.9402771141901577,"[0.518504028970545, 0.299899214144909, 0.16171700913797726]","[0.8136645962732919, 0.8891543239369326, 0.9402771141901577]"
3,13,0.16602136465636166,0.9485714285714286,"[0.5362519197391741, 0.3129552060907537, 0.16602136465636166]","[0.8019047619047619, 0.8861904761904762, 0.9485714285714286]"
3,14,0.12841766101844382,0.9590865842055185,"[0.5155090942527308, 0.26254653524268756, 0.12841766101844382]","[0.8097050428163654, 0.9086584205518554, 0.9590865842055185]"
3,4,0.4395446255803108,0.828175519630485,"[0.8316399507662829, 0.5966744168716318, 0.4395446255803108]","[0.674364896073903, 0.7658198614318706, 0.828175519630485]"
3,11,0.12733428135062708,0.9592716818399617,"[0.5121854950081218, 0.26530233838341455, 0.12733428135062708]","[0.8275035936751318, 0.902252036415908, 0.9592716818399617]"
3,3,0.42920875812278075,0.839517625231911,"[0.7857623187934651, 0.6359785988050348, 0.42920875812278075]","[0.6985157699443414, 0.7425788497217068, 0.839517625231911]"
3,5,0.6092523204929688,0.7701040681173131,"[0.7995505771216225, 0.6474872643456739, 0.6092523204929688]","[0.6717123935666982, 0.7369914853358562, 0.7701040681173131]"
3,6,0.40331491647344647,0.8433157642549114,"[0.8391126069155607, 0.5568328337235884, 0.40331491647344647]","[0.663632007666507, 0.7752755150934355, 0.8433157642549114]"
3,7,0.4126733153155356,0.8375537505972288,"[0.8025898156744061, 0.5764873416134806, 0.4126733153155356]","[0.6631629240324892, 0.7611084567606307, 0.8375537505972288]"
3,0,0.42799073895987344,0.8382761816496757,"[0.8174798155532164, 0.571942463517189, 0.42799073895987344]","[0.670064874884152, 0.7784986098239111, 0.8382761816496757]"
3,8,0.3956374521508361,0.8514285714285714,"[0.8190182429371458, 0.5856033392024763, 0.3956374521508361]","[0.6585714285714286, 0.7652380952380953, 0.8514285714285714]"
3,2,0.3791431824074072,0.8598043782021425,"[0.7939082471763387, 0.5511137913255131, 0.3791431824074072]","[0.6977177456916628, 0.7848160223567769, 0.8598043782021425]"
3,10,0.23443509156213088,0.9323557237464523,"[0.5488635248997632, 0.41117531280307207, 0.23443509156213088]","[0.8136234626300851, 0.8519394512771996, 0.9323557237464523]"
3,1,0.3741224276668885,0.8630454967502321,"[0.773116656962563, 0.5601843358839259, 0.3741224276668885]","[0.702878365831012, 0.786908077994429, 0.8630454967502321]"
3,9,0.4211973678885084,0.8320647002854424,"[0.7785301244620121, 0.5572649213400754, 0.4211973678885084]","[0.6817316841103711, 0.7711703139866793, 0.8320647002854424]"
4,2,0.23849295693285325,0.9189566837447601,"[0.7230559350813136, 0.4416191485874793, 0.23849295693285325]","[0.7251979506287843, 0.8253376804843968, 0.9189566837447601]"
4,11,0.06813495939202381,0.981312889314806,"[0.4347527397401405, 0.20075070135521167, 0.06813495939202381]","[0.8528988979396263, 0.9242932438907523, 0.981312889314806]"
4,13,0.07842589954309391,0.9776190476190476,"[0.49023306460091565, 0.24658067930828442, 0.07842589954309391]","[0.8304761904761905, 0.91, 0.9776190476190476]"
4,8,0.20947721419912396,0.93,"[0.7384710456385757, 0.4414444195501732, 0.20947721419912396]","[0.7052380952380952, 0.820952380952381, 0.93]"
4,3,0.308533795616206,0.8882189239332097,"[0.7237466836676878, 0.5416290637324838, 0.308533795616206]","[0.7258812615955473, 0.7880333951762524, 0.8882189239332097]"
4,14,0.050353864772301735,0.9876308277830638,"[0.4483287763414961, 0.15591096403923901, 0.050353864772301735]","[0.840627973358706, 0.9543292102759277, 0.9876308277830638]"
4,9,0.28043466806411743,0.8924833491912464,"[0.7097466082283945, 0.42545590030424524, 0.28043466806411743]","[0.7169362511893435, 0.8339676498572788, 0.8924833491912464]"
4,4,0.28159887299818154,0.8997690531177829,"[0.7477755721877603, 0.47916704503928914, 0.28159887299818154]","[0.7228637413394919, 0.8207852193995381, 0.8997690531177829]"
4,0,0.27834972235209804,0.9045412418906394,"[0.7512046125005273, 0.4985797703266144, 0.27834972235209804]","[0.7126969416126042, 0.8113994439295644, 0.9045412418906394]"
4,5,0.5905141646371168,0.7757805108798487,"[0.7348224213894676, 0.5345075577497482, 0.5905141646371168]","[0.695364238410596, 0.7885525070955535, 0.7757805108798487]"
4,6,0.24438749885920322,0.9151892668902731,"[0.7664298902858387, 0.44648590142076666, 0.24438749885920322]","[0.701006229036895, 0.8275035936751318, 0.9151892668902731]"
4,12,0.05254365743674112,0.9875776397515528,"[0.4209684625719533, 0.1723552258177237, 0.05254365743674112]","[0.8609651218346871, 0.9402771141901577, 0.9875776397515528]"
4,7,0.25826118751005694,0.9096989966555183,"[0.7240602943030271, 0.46178750106782623, 0.25826118751005694]","[0.7138079311992356, 0.8131868131868132, 0.9096989966555183]"
4,10,0.16231227096389322,0.9607379375591296,"[0.48442720095900926, 0.43837761440697837, 0.16231227096389322]","[0.8405865657521286, 0.8467360454115421, 0.9607379375591296]"
4,1,0.22028114011182504,0.9285051067780873,"[0.693264010197976, 0.444411682731965, 0.22028114011182504]","[0.733983286908078, 0.8235840297121634, 0.9285051067780873]"
5,12,0.026827034568696312,0.9976110845676063,"[0.3725930452346802, 0.13204544173045593, 0.026827034568696312]","[0.8748208313425705, 0.9593884376493073, 0.9976110845676063]"
5,4,0.19044766071088173,0.938568129330254,"[0.6995677088989931, 0.378180048921529, 0.19044766071088173]","[0.7404157043879908, 0.8628175519630485, 0.938568129330254]"
5,0,0.18135621113812223,0.943002780352178,"[0.676504968720324, 0.39924638849847455, 0.18135621113812223]","[0.7391102873030584, 0.8544949026876738, 0.943002780352178]"
