0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
AC,AC,AC,AE,AA,AE,AD,AD,AA,AE,AF,AF,AB,AF,AF
