0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
AF,AA,AF,AD,AE,AB,AE,AE,AE,AE,AC,AC,AC,AC,AC
