0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
AC,AC,AC,AE,AG,AG,AF,AE,AD,AA,AH,AB,AH,AJ,AI
