iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,0,0.9244052399607265,0.6571294559099438,"[1.4410222628537346, 1.1093395036809586, 0.9244052399607265]","[0.474202626641651, 0.5769230769230769, 0.6571294559099438]"
0,8,0.7216641595869353,0.7346544224262929,"[1.1365682789773652, 0.8500505342628016, 0.7216641595869353]","[0.6292895118414693, 0.6969550507491542, 0.7346544224262929]"
0,12,0.7014927793951595,0.7339578454332553,"[1.2003533629810108, 0.861717106664882, 0.7014927793951595]","[0.5498829039812646, 0.6702576112412177, 0.7339578454332553]"
0,7,0.7433449373100743,0.7381870781099324,"[1.114581028620402, 0.8449540824601145, 0.7433449373100743]","[0.6489874638379942, 0.710221793635487, 0.7381870781099324]"
0,3,0.6805885985042109,0.7502410800385728,"[1.0855234283389468, 0.8256507723620443, 0.6805885985042109]","[0.6427193828351012, 0.7140790742526519, 0.7502410800385728]"
0,5,0.6765386462211609,0.7567698259187621,"[1.0634485013557202, 0.8018190120205735, 0.6765386462211609]","[0.6586073500967118, 0.7229206963249516, 0.7567698259187621]"
0,13,0.7225585562341353,0.7362278244631186,"[1.2209493027013891, 0.8758949952967027, 0.7225585562341353]","[0.5275443510737629, 0.6895424836601307, 0.7362278244631186]"
0,2,0.924933068892535,0.6498363721365124,"[1.4379815283943624, 1.0719360148205477, 0.924933068892535]","[0.4642356241234222, 0.5881252921926133, 0.6498363721365124]"
0,14,0.6934922723209157,0.7462825278810409,"[1.2140982659424053, 0.8435785393504536, 0.6934922723209157]","[0.5311338289962825, 0.6905204460966543, 0.7462825278810409]"
0,4,0.7222942393837553,0.7439496611810261,"[1.0703586321888547, 0.8027867349711332, 0.7222942393837553]","[0.649080348499516, 0.7187802516940949, 0.7439496611810261]"
0,9,0.7505016832640676,0.7375302663438257,"[1.0966729286945227, 0.8526710271835327, 0.7505016832640676]","[0.6508474576271186, 0.7070217917675545, 0.7375302663438257]"
0,1,0.9292531153734993,0.650375939849624,"[1.4705048378776102, 1.1448350338374866, 0.9292531153734993]","[0.4450187969924812, 0.5634398496240601, 0.650375939849624]"
0,6,0.7609098364006389,0.7304556354916067,"[1.108514326991457, 0.8408935864766439, 0.7609098364006389]","[0.6441247002398082, 0.7040767386091127, 0.7304556354916067]"
0,11,0.7120600193738937,0.7378048780487805,"[1.2011614652240978, 0.8677724810207591, 0.7120600193738937]","[0.5680112570356473, 0.6721388367729831, 0.7378048780487805]"
0,10,0.7476690166136798,0.7202797202797203,"[1.287352954640108, 0.9216699495035059, 0.7476690166136798]","[0.5025641025641026, 0.6596736596736597, 0.7202797202797203]"
1,2,0.7557556804488686,0.7171575502571295,"[1.136991362361347, 0.9564459919929504, 0.7557556804488686]","[0.5647498831229546, 0.6316035530621786, 0.7171575502571295]"
1,12,0.6751484520295087,0.7583138173302107,"[0.9935898763291976, 0.7457550580010694, 0.6751484520295087]","[0.6210772833723653, 0.7372365339578454, 0.7583138173302107]"
1,3,0.610842149366032,0.7830279652844745,"[0.9161409464749423, 0.7480411421168934, 0.610842149366032]","[0.6923818707810994, 0.727579556412729, 0.7830279652844745]"
1,14,0.5834871521767448,0.7955390334572491,"[0.9917107890633976, 0.7308382251683403, 0.5834871521767448]","[0.6352230483271375, 0.7309479553903345, 0.7955390334572491]"
1,7,0.6389821406566736,0.7709739633558341,"[0.9167966138232838, 0.7497866596236373, 0.6389821406566736]","[0.6899710703953713, 0.7352941176470589, 0.7709739633558341]"
1,1,0.8362262196400586,0.6719924812030075,"[1.1729595573509441, 0.9563559504116282, 0.8362262196400586]","[0.5399436090225563, 0.6358082706766918, 0.6719924812030075]"
1,5,0.5982631201093848,0.7833655705996132,"[0.8528299783215378, 0.6759740963126674, 0.5982631201093848]","[0.7176015473887815, 0.7606382978723404, 0.7833655705996132]"
1,9,0.6233138911651842,0.7651331719128329,"[0.8903384624105511, 0.7453557794744318, 0.6233138911651842]","[0.7041162227602905, 0.738498789346247, 0.7651331719128329]"
1,6,0.661709161418857,0.770263788968825,"[0.9520081028793798, 0.7322546171419548, 0.661709161418857]","[0.6815347721822542, 0.7453237410071942, 0.770263788968825]"
1,8,0.6679305795467261,0.7467375543740937,"[0.9567400813102722, 0.7947918303085096, 0.6679305795467261]","[0.6868052199130015, 0.7158047365877236, 0.7467375543740937]"
1,13,0.6617293454268399,0.7628384687208216,"[0.9750882019014919, 0.7884754538536072, 0.6617293454268399]","[0.6517273576097106, 0.7212885154061625, 0.7628384687208216]"
1,11,0.634037056389977,0.774859287054409,"[0.9797069640720591, 0.8018062693231246, 0.634037056389977]","[0.6416510318949343, 0.7138836772983115, 0.774859287054409]"
